price,size,district,year,dataset,rooms
1550.0,85.0,Charlottenburg,2019,historical,2.0
720.63,57.65,Oberschöneweide_Köpenick,2019,historical,2.0
454.19,54.07,Spandau,2019,historical,1.5
479.0,40.95,Tiergarten,2019,historical,1.0
770.0,69.0,Wedding,2019,historical,2.0
890.0,55.0,Tiergarten,2019,historical,2.0
789.0,74.2,Karow_Weißensee,2019,historical,3.0
520.5,69.4,Hellersdorf,2019,historical,3.0
717.72,70.37,Hellersdorf,2019,historical,3.0
486.88,36.28,Oberschöneweide_Köpenick,2019,historical,1.0
674.88,51.52,Reinickendorf,2019,historical,2.0
722.0,83.0,Köpenick,2019,historical,2.0
2630.0,228.7,Dahlem_Zehlendorf,2019,historical,7.0
316.87,39.0,Charlottenburg,2019,historical,1.0
1449.0,65.83,Mitte,2019,historical,3.0
564.27,53.74,Karow_Weißensee,2019,historical,2.0
549.0,42.0,Tiergarten,2019,historical,1.0
642.3,42.82,Friedrichshain,2019,historical,1.0
646.0,63.03,Johannisthal_Treptow,2019,historical,2.0
1071.15,57.9,Tiergarten,2019,historical,2.0
763.28,40.6,Adlershof_Treptow,2019,historical,1.0
476.0,19.02,Neukölln,2019,historical,1.0
887.6,63.4,Friedrichshain,2019,historical,2.0
1288.0,56.0,Charlottenburg,2019,historical,2.0
975.0,52.0,Wedding,2019,historical,2.0
629.36,61.72,Altglienicke_Treptow,2019,historical,2.0
530.0,44.0,Weißensee,2019,historical,2.0
1202.17,75.0,Lichtenberg,2019,historical,3.0
468.94,60.12,Spandau,2019,historical,2.0
366.29,58.74,Staaken_Spandau,2019,historical,2.0
847.5,56.5,Lichterfelde_Steglitz,2019,historical,2.0
1765.6,88.28,Schmargendorf_Wilmersdorf,2019,historical,3.0
1375.0,80.0,Tiergarten,2019,historical,2.0
1068.0,68.04,Kreuzberg,2019,historical,3.0
555.48,30.86,Niederschöneweide_Treptow,2019,historical,1.0
2100.0,143.45,Grunewald_Wilmersdorf,2019,historical,5.0
386.0,32.86,Buckow_Neukölln,2019,historical,1.0
